formation_index	power	config	unrunnable	surprise_chance	enemy_1	enemy_1_min	enemy_1_max	enemy_2	enemy_2_min	enemy_2_max	enemy_3	enemy_3_min	enemy_3_max	enemy_4	enemy_4_min	enemy_4_max
0x0	30	Small	no	4	Goblin\x00	3	5	Goblin Guard\x00	0	0	None	0	0	None	0	0	
0x1	36	Small	no	4	Skeleton\x00	2	4	Crawler\x00	0	0	None	0	0	None	0	0	
0x2	300	Small	no	4	Goblin Guard\x00	1	3	Wolf\x00	0	2	Warg Wolf\x00	0	2	Goblin\x00	0	2	
0x3	48	Small	no	4	Wolf\x00	1	2	Warg Wolf\x00	0	0	None	0	0	None	0	0	
0x4	96	Small	no	4	Zombie\x00	2	4	Ghoul\x00	0	0	None	0	0	None	0	0	
0x5	60	Small	no	55	Black Widow\x00	1	2	Green Slime\x00	0	0	None	0	0	None	0	0	
0x6	63	Large	no	4	Crazy Horse\x00	1	1	None	0	0	None	0	0	None	0	0	
0x7	126	Small	no	4	Gigas Worm\x00	1	2	Ogre\x00	0	0	None	0	0	None	0	0	
0x8	93	Small	no	4	Ghoul\x00	1	1	Ghast\x00	0	0	None	0	0	None	0	0	
0x9	153	Large	no	4	Hill Gigas\x00	0	0	Lizard\x00	1	1	None	0	0	None	0	0	
0xa	360	Small	no	90	Shadow\x00	2	4	None	0	0	None	0	0	None	0	0	
0xb	537	Small	no	4	Warg Wolf\x00	2	5	Wolf\x00	0	3	None	0	0	None	0	0	
0xc	390	Large	no	4	Ogre\x00	1	2	Hyenadon\x00	0	0	None	0	0	None	0	0	
0xd	246	Small	no	4	Cobra\x00	1	2	None	0	0	None	0	0	None	0	0	
0xe	2559	Large/Small	no	33	Goblin Guard\x00	0	5	Werewolf\x00	1	3	Hill Gigas\x00	0	2	Lizard\x00	0	2	
0xf	468	Small	no	4	Wight\x00	0	0	Ghast\x00	1	4	None	0	0	None	0	0	
0x10	396	Small	no	4	Gargoyle\x00	2	3	None	0	0	None	0	0	None	0	0	
0x11	810	Small	no	33	Werewolf\x00	3	6	Warg Wolf\x00	0	0	None	0	0	None	0	0	
0x12	564	Small	no	55	Ochre Jelly\x00	0	0	Tarantula\x00	1	4	None	0	0	None	0	0	
0x13	672	Large	no	4	Ogre Chief\x00	1	1	Ogre\x00	1	2	None	0	0	None	0	0	
0x14	282	Small	no	4	Tarantula\x00	1	2	None	0	0	None	0	0	None	0	0	
0x15	990	Small	no	4	Anaconda\x00	2	6	Scorpion\x00	0	0	None	0	0	None	0	0	
0x16	1116	Small	no	4	Cockatrice\x00	2	6	Mummy\x00	0	0	None	0	0	None	0	0	
0x17	4776	Large	no	4	Ankheg\x00	1	4	None	0	0	None	0	0	None	0	0	
0x18	1386	Small	no	4	Wraith\x00	2	6	Specter\x00	0	0	None	0	0	None	0	0	
